fold,C,accuracy,precision,recall,auc
0,0.1,0.7531276063386155,0.24517906336088155,0.8018018018018018,0.8578472774244833
1,0.1,0.7873227689741451,0.2804878048780488,0.8288288288288288,0.8763993773184949
2,0.1,0.7597998331943286,0.2507042253521127,0.8018018018018018,0.8480267951775304
3,0.1,0.7838063439065108,0.27575757575757576,0.8198198198198198,0.876289813272334
4,0.1,0.7487479131886478,0.24867724867724866,0.8468468468468469,0.8787513364330293
0,0.5,0.8031693077564637,0.2964169381107492,0.8198198198198198,0.8801627914679385
1,0.5,0.8206839032527106,0.3219178082191781,0.8468468468468469,0.8879173290937996
2,0.5,0.8015012510425354,0.2847457627118644,0.7567567567567568,0.8673862281399046
3,0.5,0.820534223706177,0.3181818181818182,0.8198198198198198,0.8913241668531457
4,0.5,0.7929883138564274,0.28792569659442724,0.8378378378378378,0.8945564699934525
0,1.0,0.8090075062552127,0.30201342281879195,0.8108108108108109,0.8859590288818231
1,1.0,0.8331943286071727,0.34050179211469533,0.8558558558558559,0.8908237281399047
2,1.0,0.810675562969141,0.29432624113475175,0.7477477477477478,0.8722302265500795
3,1.0,0.8330550918196995,0.3345724907063197,0.8108108108108109,0.8937110984029106
4,1.0,0.8113522537562604,0.3089700996677741,0.8378378378378378,0.8949128521345633
0,5.0,0.8306922435362802,0.32575757575757575,0.7747747747747747,0.8967234697933228
1,5.0,0.8490408673894912,0.3588709677419355,0.8018018018018018,0.8854911897191309
2,5.0,0.8331943286071727,0.321285140562249,0.7207207207207207,0.8750952239003709
3,5.0,0.8631051752921536,0.38427947598253276,0.7927927927927928,0.8965290037047167
4,5.0,0.8489148580968281,0.36328125,0.8378378378378378,0.89806227570717
0,10.0,0.8331943286071727,0.3281853281853282,0.7657657657657657,0.8963342938526763
1,10.0,0.8565471226021685,0.36909871244635195,0.7747747747747747,0.8753146528881823
2,10.0,0.8432026688907422,0.33617021276595743,0.7117117117117117,0.8716588831478538
3,10.0,0.8722871452420701,0.4036697247706422,0.7927927927927928,0.8934210199159601
4,10.0,0.8606010016694491,0.3861788617886179,0.8558558558558559,0.8999353539371937
0,50.0,0.8765638031693077,0.40512820512820513,0.7117117117117117,0.887275602808691
1,50.0,0.8715596330275229,0.3850267379679144,0.6486486486486487,0.8614450847906732
2,50.0,0.8615512927439533,0.358974358974359,0.6306306306306306,0.862774079226285
3,50.0,0.8989983305509182,0.47126436781609193,0.7387387387387387,0.886218785482815
4,50.0,0.8731218697829716,0.4019138755980861,0.7567567567567568,0.8869564136353465
0,100.0,0.8857381150959133,0.42934782608695654,0.7117117117117117,0.8885093733439322
1,100.0,0.8807339449541285,0.4036144578313253,0.6036036036036037,0.8517984896661368
2,100.0,0.8732276897414513,0.384180790960452,0.6126126126126126,0.862268978537361
3,100.0,0.9065108514190318,0.4968152866242038,0.7027027027027027,0.8756019128604225
4,100.0,0.8797996661101837,0.41361256544502617,0.7117117117117117,0.8868238063270262
0,500.0,0.8940783986655546,0.45121951219512196,0.6666666666666666,0.8777200914149443
1,500.0,0.9015846538782318,0.4748201438848921,0.5945945945945946,0.834393216746158
2,500.0,0.8865721434528774,0.41935483870967744,0.5855855855855856,0.8523822535771064
3,500.0,0.9106844741235393,0.5138888888888888,0.6666666666666666,0.8623826218122446
4,500.0,0.8948247078464107,0.45222929936305734,0.6396396396396397,0.8755604730765725
0,1000.0,0.8949124270225187,0.45222929936305734,0.6396396396396397,0.8687359234234233
1,1000.0,0.8940783986655546,0.4444444444444444,0.5765765765765766,0.8247549019607843
2,1000.0,0.8849040867389492,0.4140127388535032,0.5855855855855856,0.8405993309485956
3,1000.0,0.9073455759599333,0.5,0.6306306306306306,0.8627141400830454
4,1000.0,0.8948247078464107,0.44966442953020136,0.6036036036036037,0.8671564849117747
